11116_at,FGFR1OP
11117_at,EMILIN1
11118_at,BTN3A2
11119_at,BTN3A1
1112_at,FOXN3
11120_at,BTN2A1
11122_at,PTPRT
11123_at,RCAN3
11124_at,FAF1
11126_at,CD160
11127_at,KIF3A
11129_at,SFRS16
1113_at,CHGA
11130_at,ZWINT
11131_at,CAPN11
11132_at,CAPN10
11133_at,KPTN
11135_at,CDC42EP1
11136_at,SLC7A9
11137_at,PWP1
11138_at,TBC1D8
1114_at,CHGB
11140_at,CDC37
11141_at,IL1RAPL1
11142_at,PKIG
11144_at,DMC1
11145_at,HRASLS3
11146_at,GLMN
11147_at,HHLA3
11148_at,HHLA2
11151_at,CORO1A
11152_at,WDR45
11153_at,FICD
11154_at,AP4S1
11155_at,LDB3
11156_at,PTP4A3
11157_at,LSM6
1116_at,CHI3L1
11160_at,ERLIN2
11161_at,C14orf1
11162_at,NUDT6
11163_at,NUDT4
11165_at,NUDT3
11166_at,SOX21
11167_at,FSTL1
11168_at,PSIP1
11169_at,WDHD1
1117_at,CHI3L2
11170_at,FAM107A
11171_at,STRAP
11172_at,INSL6
11173_at,ADAMTS7
11174_at,ADAMTS6
11176_at,BAZ2A
11177_at,BAZ1A
11178_at,LZTS1
11179_at,ZNF277
1118_at,CHIT1
11180_at,WDR6
11181_at,TREH
11182_at,SLC2A6
11183_at,MAP4K5
11184_at,MAP4K1
11186_at,RASSF1
11187_at,PKP3
11188_at,NISCH
11189_at,TNRC4
1119_at,CHKA
11190_at,CEP250
11193_at,WBP4
11194_at,ABCB8
11196_at,SEC23IP
11197_at,WIF1
11198_at,SUPT16H
11199_at,ANXA10
112_at,ADCY6
1120_at,CHKB
11200_at,CHEK2
11201_at,POLI
11202_at,KLK8
1121_at,CHM
11211_at,FZD10
11212_at,PROSC
11213_at,IRAK3
11214_at,AKAP13
11215_at,AKAP11
11216_at,AKAP10
11219_at,TREX2
1122_at,CHML
11221_at,DUSP10
11222_at,MRPL3
11226_at,GALNT6
11228_at,RASSF8
1123_at,CHN1
11230_at,PRAF2
11231_at,SEC63
11232_at,POLG2
11234_at,HPS5
11235_at,PDCD10
11236_at,RNF139
11237_at,RNF24
11238_at,CA5B
112398_at,EGLN2
112399_at,EGLN3
1124_at,CHN2
11243_at,PMF1
11245_at,GPR176
112464_at,PRKCDBP
11247_at,NXPH4
11248_at,NXPH3
11250_at,GPR45
11251_at,GPR44
11252_at,PACSIN2
11253_at,MAN1B1
11254_at,SLC6A14
11255_at,HRH3
11258_at,DCTN3
11259_at,FILIP1L
11260_at,XPOT
11261_at,CHP
112611_at,RWDD2A
11262_at,SP140
11264_at,PXMP4
11266_at,DUSP12
11267_at,SNF8
11272_at,PRR4
11273_at,ATXN2L
11275_at,KLHL2
11277_at,TREX1
11278_at,KLF12
11279_at,KLF8
11280_at,SCN11A
11281_at,POU6F2
11282_at,MGAT4B
11283_at,CYP4F8
11284_at,PNKP
11285_at,B4GALT7
112869_at,CCDC101
1129_at,CHRM2
112950_at,MED8
113_at,ADCY7
1130_at,LYST
11309_at,SLCO2B1
11311_at,VPS45
11313_at,LYPLA2
11314_at,CD300A
113146_at,AHNAK2
11315_at,PARK7
11316_at,COPE
11317_at,RBPJL
113177_at,C19orf36
113178_at,SCAMP4
11318_at,GPR182
11319_at,ECD
1132_at,CHRM4
11320_at,MGAT4A
11321_at,XAB1
11322_at,TMC6
11325_at,DDX42
113251_at,LARP4
11326_at,VSIG4
11329_at,STK38
1133_at,CHRM5
11330_at,CTRC
11331_at,PHB2
11332_at,ACOT7
11333_at,PDAP1
11334_at,TUSC2
11335_at,CBX3
11336_at,EXOC3
11337_at,GABARAP
11338_at,U2AF2
11339_at,OIP5
1134_at,CHRNA1
11340_at,EXOSC8
11341_at,SCRG1
113419_at,TEX261
11342_at,RNF13
11343_at,MGLL
11344_at,TWF2
11345_at,GABARAPL2
1135_at,CHRNA2
1136_at,CHRNA3
1137_at,CHRNA4
113791_at,PIK3IP1
1138_at,CHRNA5
113835_at,ZNF257
113878_at,DTX2
114_at,ADCY8
1140_at,CHRNB1
114034_at,TOE1
114044_at,MCM3APAS
114049_at,WBSCR22
114088_at,TRIM9
1141_at,CHRNB2
114112_at,TXNRD3
1142_at,CHRNB3
1143_at,CHRNB4
114327_at,EFHC1
1144_at,CHRND
1145_at,CHRNE
114548_at,NLRP3
1146_at,CHRNG
114625_at,ERMAP
1147_at,CHUK
114791_at,TUBGCP5
114819_at,CROCCL2
114876_at,OSBPL1A
114881_at,OSBPL7
114882_at,OSBPL8
114883_at,OSBPL9
114884_at,OSBPL10
114885_at,OSBPL11
114897_at,C1QTNF1
114899_at,C1QTNF3
1149_at,CIDEA
114908_at,TMEM123
114932_at,MRFAP1L1
115_at,ADCY9
115123_at,115123_at
1152_at,CKB
115201_at,ATG4A
115207_at,KCTD12
115290_at,FBXO17
1153_at,CIRBP
115353_at,LRRC42
1154_at,CISH
1155_at,TBCB
115648_at,115648_at
115653_at,KIR3DL3
115703_at,SNX26
115708_at,C14orf172
1158_at,CKM
115817_at,DHRS1
115939_at,C16orf42
116_at,ADCYAP1
1160_at,CKMT2
116039_at,OSR2
1161_at,ERCC8
116138_at,KLHDC3
116285_at,ACSM1
116372_at,LYPD1
1164_at,CKS2
116496_at,FAM129A
116832_at,RPL39L
116984_at,CENTD1
116985_at,CENTD2
116986_at,CENTG1
116987_at,CENTG2
117_at,ADCYAP1R1
117153_at,MIA2
117178_at,SSX2IP
117246_at,FTSJ3
1173_at,AP2M1
1174_at,AP1S1
1175_at,AP2S1
1178_at,CLC
1179_at,CLCA1
118_at,ADD1
1180_at,CLCN1
1181_at,CLCN2
1182_at,CLCN3
1183_at,CLCN4
1184_at,CLCN5
1185_at,CLCN6
1186_at,CLCN7
1188_at,CLCNKB
119_at,ADD2
1191_at,CLU
1192_at,CLIC1
1193_at,CLIC2
1195_at,CLK1
1196_at,CLK2
1198_at,CLK3
12_at,SERPINA3
120_at,ADD3
1200_at,TPP1
1201_at,CLN3
1203_at,CLN5
120526_at,DPH4
1207_at,CLNS1A
1208_at,CLPS
1209_at,CLPTM1
1211_at,CLTA
1212_at,CLTB
1213_at,CLTC
1215_at,CMA1
122616_at,C14orf79
123_at,ADFP
1230_at,CCR1
1232_at,CCR3
1233_at,CCR4
1234_at,CCR5
1235_at,CCR6
1236_at,CCR7
1237_at,CCR8
1238_at,CCBP2
123803_at,NTAN1
123872_at,LRRC50
124_at,ADH1A
1240_at,CMKLR1
124044_at,SPATA2L
1241_at,LTB4R
124152_at,IQCK
124222_at,PAQR4
1244_at,ABCC2
124565_at,SLC38A10
124583_at,CANT1
125_at,ADH1B
1258_at,CNGB1
125893_at,ZNF816A
1259_at,CNGA1
126_at,ADH1C
1261_at,CNGA3
126208_at,ZNF787
126231_at,ZNF573
126299_at,ZNF428
1263_at,PLK3
126353_at,C19orf21
126393_at,HSPB6
1264_at,CNN1
1265_at,CNN2
1266_at,CNN3
1267_at,CNP
1268_at,CNR1
1269_at,CNR2
1270_at,CNTF
1271_at,CNTFR
1272_at,CNTN1
127406_at,LOC127406
127544_at,RNF19B
1277_at,COL1A1
127703_at,C1orf216
1278_at,COL1A2
128_at,ADH5
1280_at,COL2A1
1281_at,COL3A1
1282_at,COL4A1
1284_at,COL4A2
1285_at,COL4A3
1286_at,COL4A4
1287_at,COL4A5
1288_at,COL4A6
128872_at,HMG4L
1289_at,COL5A1
1290_at,COL5A2
129025_at,ZNF280A
129080_at,EMID1
1291_at,COL6A1
1292_at,COL6A2
1293_at,COL6A3
1294_at,COL7A1
1296_at,COL8A2
1297_at,COL9A1
1298_at,COL9A2
1299_at,COL9A3
13_at,AADAC
130_at,ADH6
1300_at,COL10A1
130074_at,LOC130074
1301_at,COL11A1
1302_at,COL11A2
1305_at,COL13A1
1306_at,COL15A1
1307_at,COL16A1
1308_at,COL17A1
